country,year,happiness_score,gdp_factor,social_support_factor,health_factor,freedom_factor,generosity_factor,corruption_factor,iso3,co2_total_mt,co2_per_capita_t,gdp_current_usd,gdp_per_capita_usd,internet_users_pct,life_expectancy_years,population_total,trade_pct_gdp,unemployment_pct,urban_population_pct
Albania,2015,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,ALB,4.712137,1.634751,11386931489.7968,3952.83078116586,63.2529327,78.174,2880703.0,71.8010161004583,17.0799999237061,57.434
Bosnia and Herzegovina,2015,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,BIH,18.460491,5.238023,16209702863.6235,4584.24254781755,52.6,76.735,3535961.0,88.0873801341512,27.6499996185303,47.173
Lesotho,2015,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,LSO,2.242368,1.058459,2510312804.76737,1154.35521879082,25.0,53.745,2174645.0,121.939325118765,24.2980003356934,26.908
Dominican Republic,2015,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,DOM,23.494589,2.257829,68802092020.9448,6534.90855499375,54.21576634,73.673,10528394.0,53.9379181016125,7.60500001907349,78.566
Laos,2015,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,LAO,9.229252,1.359759,14390391264.2607,2159.43315209405,18.2,66.335,6663967.0,85.7986260329241,0.680000007152557,33.108
Mongolia,2015,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,MNG,23.282276,7.853034,11749620619.5962,3946.96207454865,22.2657705,69.087,2976877.0,90.2870128781809,4.86100006103516,68.23
Swaziland,2015,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,SWZ,0.868368,0.7658,4020275298.02726,3047.94675558222,25.64304231,57.107,1319011.0,99.7387937357278,23.6429996490479,23.3
Greece,2015,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,GRC,74.927631,6.93348,196591353761.226,18167.7737169162,66.835,81.0365853658537,10820883.0,63.0551607750752,24.8969993591309,78.046
Lebanon,2015,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,LBN,25.734552,4.02169,49910270062.1559,8529.51366007737,74.0,79.409,5851479.0,72.398022412764,6.23299980163574,88.106
Hungary,2015,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,HUN,46.65347,4.739161,123074092703.141,12503.6820684794,72.8347,75.5682926829269,9843028.0,169.838228404571,6.81300020217896,70.5
Honduras,2015,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,HND,10.347979,1.113344,20979767785.2104,2341.27532008595,27.61981381,73.376,8960829.0,107.26440535424,4.59200000762939,55.165
Tajikistan,2015,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,TJK,5.302282,0.622037,7854602391.65355,918.811914494293,18.98,70.879,8548651.0,52.7301910606978,11.3500003814697,26.742
Tunisia,2015,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,TUN,30.265905,2.618661,43152528548.124,3827.72983400193,46.5,75.525,11273661.0,91.0589736319819,15.2180004119873,68.056
Palestinian Territories,2015,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,PSE,3.00574,0.670234,12673000000.0,2865.80510851865,57.42419241,73.299,4422143.0,77.9270890870354,25.8209991455078,75.368
Bangladesh,2015,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,BGD,73.157558,0.463521,195078678697.23,1210.1588492338,14.4,72.155,161200886.0,42.0859963070382,4.41599988937378,34.308
Iran,2015,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,IRN,631.581182,7.721906,385874474398.59,4862.29972856127,45.33497588,75.73,79360487.0,39.017300702637,11.0600004196167,73.358
Ukraine,2015,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,UKR,223.824094,4.975797,91030959454.6961,2124.66266591114,48.88464368,71.189512195122,45154029.0,107.806616298156,9.14000034332275,69.061
Iraq,2015,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788,IRQ,168.214441,4.45509,177498577312.923,4914.72761054144,17.22,69.672,36115649.0,76.7579150579151,8.07900047302246,69.921
South Africa,2015,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,ZAF,446.221038,7.985844,317536830640.619,5742.98780033574,51.91911572,61.981,55291225.0,61.6001484128351,25.1560001373291,64.828
Ghana,2015,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,GHA,16.026216,0.555099,49181854798.2552,1783.06108712576,31.44785241,62.448,27582821.0,75.5863939908231,6.80600023269653,54.086
Zimbabwe,2015,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,ZWE,12.254954,0.865772,19963120600.0,1265.29441289344,22.7428181,60.398,15777451.0,56.7488111052137,5.43800020217896,32.385
Liberia,2015,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,LBR,1.203323,0.260893,3177000000.0,706.059465897239,5.903867603,62.007,4499621.0,126.017689644319,2.18400001525879,49.82
India,2015,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,IND,2270.766191,1.71655,2103587813812.2,1606.9526894622,26.0,68.302,1309053980.0,41.9229138658408,2.78200006484985,32.777
